wavelength,mm_cm_2
3333.0,1.1632366679692296e-08
3334.0,1.1643631615584667e-08
3335.0,1.165559852077596e-08
3336.0,1.1692936602057185e-08
3337.0,1.1750631793007406e-08
3338.0,1.1786900206785496e-08
3339.0,1.1797864298692613e-08
3340.0,1.1809028953256556e-08
3341.0,1.1831759387698124e-08
3342.0,1.1938826419339813e-08
3343.0,1.1962292250189786e-08
3344.0,1.1974158874052669e-08
3345.0,1.1987663426279715e-08
3346.0,1.2078986289359669e-08
3347.0,1.2343628715056593e-08
3348.0,1.2365155773557139e-08
3349.0,1.2456177792651843e-08
3350.0,1.2687961369736904e-08
3351.0,1.2702869860561816e-08
3352.0,1.2745756842015541e-08
3353.0,1.2828221521085178e-08
3354.0,1.2841792927531178e-08
3355.0,1.2856768272575033e-08
3356.0,1.286953742839368e-08
3357.0,1.2882507146869164e-08
3358.0,1.289447405206046e-08
3359.0,1.2906842082565435e-08
3360.0,1.2926363514497604e-08
3361.0,1.3123082053745601e-08
3362.0,1.32339597758672e-08
3363.0,1.3246461514810063e-08
3364.0,1.3258695836877148e-08
3365.0,1.327263494152734e-08
3366.0,1.3285370670236515e-08
3367.0,1.3298306961602525e-08
3368.0,1.3310741846326442e-08
3369.0,1.3325550055822937e-08
3370.0,1.3338452920079476e-08
3371.0,1.3351088367460228e-08
3372.0,1.3363890950388349e-08
3373.0,1.3376526397769105e-08
3374.0,1.3389596397573007e-08
3375.0,1.3402666397376908e-08
3376.0,1.3419346525003885e-08
3377.0,1.3458456243087175e-08
3378.0,1.3488975194035928e-08
3379.0,1.3501476932978792e-08
3380.0,1.3513911817702712e-08
3381.0,1.3527382942820289e-08
3382.0,1.353998496309157e-08
3383.0,1.355325552555231e-08
3384.0,1.3565957827152009e-08
3385.0,1.3579061254065375e-08
3386.0,1.3724803451367217e-08
3387.0,1.373753918007639e-08
3388.0,1.3752180254025518e-08
3389.0,1.3764982836953638e-08
3390.0,1.3777584857224917e-08
3391.0,1.3790220304605674e-08
3392.0,1.3803190023081157e-08
3393.0,1.3815892324680859e-08
3394.0,1.3828962324484762e-08
3395.0,1.3841631198974985e-08
3396.0,1.3854500636122056e-08
3397.0,1.3868005188349105e-08
3398.0,1.3885654702150794e-08
3399.0,1.3899393244144157e-08
3400.0,1.3952007514454492e-08
3401.0,1.3984231247986368e-08
3402.0,1.3997134112242906e-08
3403.0,1.4010103830718389e-08
3404.0,1.4023307538960185e-08
3405.0,1.40361101218883e-08
3406.0,1.4048946131925898e-08
3407.0,1.4061782141963487e-08
3408.0,1.4074618152001079e-08
3409.0,1.4239313520374042e-08
3410.0,1.425241694728741e-08
3411.0,1.4265420092872377e-08
3412.0,1.4278724082442588e-08
3413.0,1.4291827509355965e-08
3414.0,1.430493093626934e-08
3415.0,1.4319271166233196e-08
3416.0,1.440280551280598e-08
3417.0,1.441617635659514e-08
3418.0,1.4429346637727462e-08
3419.0,1.4443686867691332e-08
3420.0,1.4456924003042596e-08
3421.0,1.447016113839387e-08
3422.0,1.4483765971949338e-08
3423.0,1.4543032237044783e-08
3424.0,1.4556369653724468e-08
3425.0,1.456960678907573e-08
3426.0,1.458291077864595e-08
3427.0,1.4599056072521358e-08
3428.0,1.4612861468733665e-08
3429.0,1.4626800573383863e-08
3430.0,1.4647425099928634e-08
3431.0,1.4663336404037738e-08
3432.0,1.4676740674936371e-08
3433.0,1.4690178372944476e-08
3434.0,1.470361607095258e-08
3435.0,1.4716986914741731e-08
3436.0,1.4730692029625625e-08
3437.0,1.474412972763373e-08
3438.0,1.4821012079421392e-08
3439.0,1.4836388549778926e-08
3440.0,1.4850494789976496e-08
3441.0,1.4863999342203539e-08
3442.0,1.4882751950617832e-08
3443.0,1.4896523919720667e-08
3444.0,1.5166982662465875e-08
3445.0,1.5181189183991864e-08
3446.0,1.5195495986846257e-08
3447.0,1.520926795594909e-08
3448.0,1.5223073352161396e-08
3449.0,1.5236878748373703e-08
3450.0,1.5338296598514476e-08
3451.0,1.5352202276055197e-08
3452.0,1.5366375370471704e-08
3453.0,1.5380381329340848e-08
3454.0,1.539438728820999e-08
3455.0,1.5518335010135498e-08
3456.0,1.553270866720884e-08
3457.0,1.554701547006324e-08
3458.0,1.556122199158922e-08
3459.0,1.5575495367334146e-08
3460.0,1.5651308051618682e-08
3461.0,1.5665581427363603e-08
3462.0,1.5679888230218003e-08
3463.0,1.5694529304167134e-08
3464.0,1.5718028562126577e-08
3465.0,1.5732335364980994e-08
3466.0,1.575927761521613e-08
3467.0,1.5941956768485515e-08
3468.0,1.5958837458769328e-08
3469.0,1.5973244542952144e-08
3470.0,1.598765162713497e-08
3471.0,1.6067041012133093e-08
3472.0,1.6081916075848532e-08
3473.0,1.6096523722688188e-08
3474.0,1.6149338555655363e-08
